Artikelnummer;HAN;Artikelname
WMS-001;JTL-WMS;Einrichtung der Basisfunktionen, einschließlich Lagerstruktur, Bestandsverwaltung und Benutzerrechte.
WMS-002;JTL-WMS Lagerstruktur;Definition und Konfiguration der Lagerplätze, Lagerbereiche und Lagerzonen, einschließlich der Anpassung an Ihre spezifischen Lageranforderungen.
WMS-003;JTL-WMS Chaotische Lagerhaltung;Einrichtung und Optimierung der chaotischen Lagerhaltung, um den vorhandenen Lagerplatz bestmöglich auszunutzen.
WMS-004;JTL-WMS Wareneingang;Einrichtung und Optimierung des Wareneingangsprozesses, einschließlich der Buchung von Wareneingängen, Prüfung und Zuweisung von Lagerplätzen.
WMS-005;JTL-WMS Warenausgang und Versand;Einrichtung des Versandprozesses, einschließlich der Erstellung von Lieferscheinen, Etiketten und der Anbindung an Versanddienstleister.
WMS-006;JTL-WMS Kommissionierung;Konfiguration der Kommissionierstrategien (z. B. Pick-by-Order, Pick-by-Batch, Multi-Order-Picking) und Optimierung der Kommissionierwege, um die Effizienz zu steigern.
WMS-007;JTL-WMS Retourenmanagement;Einrichtung von Rücksendungsprozessen zur effizienten Abwicklung von Retouren, einschließlich der automatischen Bestandskorrektur und Wiederverfügbarkeit von Waren.
WMS-008;JTL-WMS Inventur;Einrichtung und Durchführung von Inventurprozessen, einschließlich der Optimierung für manuelle oder automatische Zählungen.
WMS-009;JTL-WMS Druckereinbindung;Einrichtung von Druckern für Etiketten, Lieferscheine und Versanddokumente, einschließlich der Anpassung von Druckvorlagen nach Ihren Anforderungen.
WMS-010;JTL-WMS Mobile Devices;Einrichtung und Konfiguration von mobilen Endgeräten (z.B. Scanner, Tablets) für die Nutzung von JTL-WMS.
WMS-011;JTL-WMS Benutzerrechte und Rollen;Konfiguration von Benutzerrollen und Zugriffsrechten, um sicherzustellen, dass Mitarbeiter nur auf relevante Informationen zugreifen können.
WMS-012;JTL-WMS Mehrlagerfähigkeit;Einrichtung und Verwaltung von mehreren Lagerstandorten innerhalb von JTL-WMS, inklusive Bestandsverwaltung und Lagertransfer.
WMS-013;JTL-WMS Bestandsoptimierung;Einrichtung von Mindest- und Maximalbeständen sowie automatisierten Bestellvorschlägen, um die Lagerhaltung zu optimieren.
WMS-014;JTL-WMS Integration in JTL-Wawi;Sicherstellung der reibungslosen Integration und Synchronisation von JTL-WMS mit JTL-Wawi, inklusive Bestands- und Auftragsabgleich.
WMS-015;JTL-WMS Support und Nachbetreuung;Unterstützung nach der Implementierung zur Sicherstellung eines reibungslosen Betriebs.
WMS-016;JTL-WMS Seriennummern;Verwaltung und Nachverfolgung von Seriennummern in JTL-WMS zur genauen Identifikation und Verfolgung einzelner Artikel. Erfassung und Zuweisung von Seriennummern bei Wareneingang und Warenausgang.